Unnamed: 0,university,major,course,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission
84,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมเคมี,วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเคมี-วศ.บ.4ปี,ChemicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,54,24,30,3
85,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมเคมี,วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเคมี(หลักสูตรนานาชาติ)-วศ.บ.4ปี,ChemicalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,0.0,0,28,32,35,0
86,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมเครื่องกล,วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกล-วศ.บ.4ปี,MechanicalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,57,32,10,0
87,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมเครื่องกล,วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี) (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องกลวศ.บ.4ปี(พื้นที่การศึกษาราชบุรี),MechanicalEngineering-B.Eng.(RajaburiEducationalRegion),ภาษาไทย ปกติ,บางมด,0.0,0,20,11,0,0
88,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมเครื่องกล,วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมยานยนต์-วศ.บ.4ปี,AutomotiveEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,53,41,35,0
89,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมไฟฟ้า,วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า-วศ.บ.4ปี,ElectricalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,53,36,29,0
90,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมไฟฟ้า,วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมไฟฟ้า(ระบบไฟฟ้าอิเล็กทรอนิกส์กำลังและพลังงาน)-วศ.บ.4ปี,ElectricalEngineering(PowerSystemPowerElectronicsandEnergy)-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,27,22,10,0
91,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมโยธา,วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมโยธา(หลักสูตรนานาชาติ)-วศ.บ.4ปี,CivilEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,0.0,0,66,42,20,0
92,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมโยธา,วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมโยธา-วศ.บ.4ปี,CivilEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,67,13,5,0
93,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,0.0,0,32,27,25,19
94,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมอัตโนมัติ(หลักสูตรนานาชาติ)-วศ.บ.4ปี-KOSEN,AutomationEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,0.0,0,50,0,0,0
95,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด-วศ.บ.4ปี,ControlSystemandInstrumentationEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,30,19,8,0
96,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมระบบวัดคุม วิศวกรรมอัตโนมัติ,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมระบบควบคุมและเครื่องมือวัด(สหกิจศึกษา)-วศ.บ.4ปี,ControlSystemsandInstrumentationEngineering(Co-operativeEducation)-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,30,35,35,26
97,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมวัสดุ,วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมวัสดุ-วศ.บ.4ปี,MaterialsEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,29,43,30,5
98,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมวัสดุ,วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมเครื่องมือ-วศ.บ.4ปี,ToolEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,34,54,45,0
99,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมวัสดุ,วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ. วิศวกรรมการผลิตชิ้นส่วนยานยนต์และอากาศยานสมัยใหม่ - วศ.บ. 4 ปี,Modern Automotive and Aerospace Parts Manufacturing Engineering - B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,27,21,20,0
100,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมสิ่งแวดล้อม,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม(หลักสูตรนานาชาติ)-วศ.บ.4ปี,EnviromentalEngineering(InternationalProgram)-B.Eng.,นานาชาติ,บางมด,0.0,0,28,38,15,26
101,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมสิ่งแวดล้อม,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี (ภาษาไทย ปกติ) วิทยาเขต บางมด,วศ.บ.สาขาวิศวกรรมสิ่งแวดล้อม-วศ.บ.4ปี,EnvironmentalEngineering-B.Eng.,ภาษาไทย ปกติ,บางมด,0.0,0,29,20,2,0
102,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,วิศวกรรมอิเล็กทรอนิกส์,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี (นานาชาติ) วิทยาเขต บางมด,วศ.บ.วิศวกรรมอิเล็กทรอนิกส์และสารสนเทศสื่อสาร(หลักสูตรนานาชาติ)-วศ.บ.4ปี,Electronic and Infocommunication Engineering (International Program) - B.Eng.,นานาชาติ,บางมด,0.0,0,28,63,30,0
